35000012;AYRES DE MOURA PROFESSOR;SAO PAULO;RUA ARTUR ORLANDO;01/02/2012;24/12/2012
35000024;GAVIAO PEIXOTO BRIGADEIRO;SAO PAULO;RUA MOGEIRO;01/02/2012;24/12/2012
